,qtd_filhos,idade,tempo_emprego,qt_pessoas_residencia,renda
count,14593.0,14593.0,12090.0,14593.0,14593.0
mean,0.4332899335297746,43.8689097512506,7.724567116489344,2.2070855889810184,5698.140557116426
std,0.7460287657260891,11.27662609457728,6.718006570783665,0.9091166604961531,8314.021151783778
min,0.0,22.0,0.1178082191780822,1.0,118.71
25%,0.0,34.0,3.006164383561644,2.0,2018.88
50%,0.0,43.0,6.013698630136986,2.0,3488.41
75%,1.0,53.0,10.123287671232877,3.0,6379.57
max,14.0,68.0,42.90684931506849,15.0,245141.67
